Parameters;F1-Score
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8149
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7426
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6592
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5603
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4545
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3331
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1841
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7024
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7035
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7035
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8483
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8974
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9319
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9423
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9455
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9458
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9446
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9413
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9373
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9331
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9288
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8748
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8120
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7420
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6594
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5680
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4560
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3294
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1760
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.7120
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.7118
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.7121
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.8043
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.8492
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9050
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9226
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9354
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9373
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9382
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9380
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9374
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9357
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9334
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8876
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8246
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7485
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6643
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5685
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4576
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3271
Grocery_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1837
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.6992
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.6993
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.6994
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.8315
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.8747
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9116
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9321
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9373
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9396
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9392
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9377
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9356
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9326
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9299
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8822
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8190
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7459
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6643
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5620
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4531
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3310
Grocery_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1859
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6868
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6951
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6961
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.7506
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7945
Grocery_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.8318
