Parameters;Precisao;Revocacao;F1-Score;Tempo
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9963;0.7785;0.8739;0.1299
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9967;0.6669;0.7990;0.1863
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9972;0.5674;0.7230;0.2424
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9976;0.4684;0.6372;0.2990
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9976;0.3691;0.5386;0.3614
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9978;0.2754;0.4314;0.4107
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9975;0.1863;0.3137;0.4532
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9974;0.0913;0.1672;0.4843
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5455;0.9958;0.7035;0.0057
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5492;0.9959;0.7061;0.0050
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5502;0.9960;0.7068;0.0048
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6724;0.9935;0.8013;0.0075
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9200;0.9897;0.9528;0.0105
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9726;0.9812;0.9768;0.0168
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9786;0.9731;0.9758;0.0226
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9827;0.9651;0.9738;0.0288
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9858;0.9588;0.9721;0.0362
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9876;0.9518;0.9694;0.0461
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9892;0.9440;0.9661;0.0487
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9910;0.9314;0.9603;0.0536
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9920;0.9205;0.9549;0.0592
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9928;0.9102;0.9497;0.0739
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9962;0.7920;0.8824;0.1295
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9967;0.6876;0.8138;0.1923
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9971;0.5849;0.7373;0.2482
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9977;0.4817;0.6496;0.3005
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9981;0.3859;0.5565;0.3708
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9980;0.2917;0.4513;0.4165
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9981;0.1928;0.3229;0.4567
Rivers_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9980;0.0978;0.1781;0.4960
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5469;0.9983;0.7058;0.0043
Rivers_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5476;0.9983;0.7064;0.0038
