Parameters;F1-Score
Justice_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6526
Justice_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5676
Justice_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4681
Justice_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3444
Justice_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1926
Justice_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7271
Justice_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7346
Justice_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7356
Justice_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9274
Justice_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9357
Justice_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9380
Justice_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9378
Justice_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9358
Justice_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9333
Justice_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9312
Justice_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9273
Justice_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9233
Justice_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9193
Justice_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9145
Justice_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8596
Justice_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.7946
Justice_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7294
Justice_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6541
Justice_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5676
Justice_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4673
Justice_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3462
Justice_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1905
Justice_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.7181
Justice_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.7149
Justice_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.7142
Justice_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.9193
Justice_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.9272
Justice_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.9306
Justice_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9305
Justice_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9290
Justice_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9265
Justice_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9228
Justice_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9198
Justice_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9165
Justice_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9126
Justice_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9079
