Parameters;F1-Score
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8192
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7492
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6695
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5704
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4684
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3389
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1841
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.9771
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.9774
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.9773
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9829
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9843
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9842
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9813
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9767
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9711
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9651
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9595
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9538
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9472
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9425
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8815
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8177
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7478
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6617
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5644
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4556
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3258
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1779
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.7639
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.7664
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.7668
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.7806
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.8006
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.8743
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9676
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9768
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9753
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9710
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9660
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9600
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9548
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9483
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8877
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8267
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7610
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6729
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5790
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4653
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3418
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1896
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.8877
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.8877
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.8882
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.9088
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.9181
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9445
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9773
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9783
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9736
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9685
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9636
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9583
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9514
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9456
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8875
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8249
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7571
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6730
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5784
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4681
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3413
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1881
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.7031
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.7028
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.7027
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.7050
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7118
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.7323
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.8348
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.9565
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.9728
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.9699
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.9660
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.9622
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.9586
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.9546
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.9053
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8457
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7773
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6943
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5958
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4888
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3529
Cafe_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1990
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.7136
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.7127
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.7132
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.7136
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.7222
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.7435
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.8864
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9703
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9767
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9740
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9699
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9651
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9608
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9560
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.9072
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8477
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7812
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6981
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5943
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4792
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3456
Cafe_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1845
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.7195
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.7190
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.7179
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.7247
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7401
Cafe_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.7940
