Parameters;Precisao;Revocacao;F1-Score;Tempo
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,2_scale;0.9650;0.7718;0.8576;0.0912
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,3_scale;0.9723;0.6731;0.7954;0.1317
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,4_scale;0.9767;0.5723;0.7215;0.1693
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,5_scale;0.9780;0.4751;0.6392;0.2074
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,6_scale;0.9787;0.3777;0.5445;0.2465
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,7_scale;0.9780;0.2827;0.4380;0.2798
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,8_scale;0.9762;0.1889;0.3156;0.3087
Massacre_VAE_1651_4954_10_OCSVM_RBF_0,9_scale;0.9777;0.0989;0.1791;0.3382
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,0001_scale;0.5566;0.9985;0.7146;0.0038
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,0005_scale;0.5571;0.9986;0.7150;0.0038
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,001_scale;0.5564;0.9985;0.7144;0.0037
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,005_scale;0.6900;0.9958;0.8148;0.0056
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,01_scale;0.8644;0.9862;0.9212;0.0077
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,02_scale;0.8970;0.9754;0.9345;0.0118
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,03_scale;0.9146;0.9639;0.9386;0.0159
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,04_scale;0.9240;0.9547;0.9390;0.0206
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,05_scale;0.9308;0.9461;0.9384;0.0244
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,06_scale;0.9355;0.9379;0.9367;0.0283
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,07_scale;0.9387;0.9294;0.9340;0.0327
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,08_scale;0.9419;0.9195;0.9305;0.0406
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,09_scale;0.9445;0.9108;0.9273;0.0422
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,1_scale;0.9470;0.9011;0.9234;0.0474
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,2_scale;0.9619;0.7931;0.8693;0.0866
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,3_scale;0.9686;0.6879;0.8043;0.1340
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,4_scale;0.9723;0.5922;0.7358;0.1671
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,5_scale;0.9739;0.4980;0.6587;0.2110
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,6_scale;0.9735;0.4008;0.5672;0.2436
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,7_scale;0.9751;0.3082;0.4676;0.2844
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,8_scale;0.9743;0.2083;0.3427;0.3143
Massacre_VAE_1651_4954_6_OCSVM_RBF_0,9_scale;0.9733;0.1084;0.1947;0.3386
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,0001_scale;0.5792;0.9944;0.7313;0.0048
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,0005_scale;0.5781;0.9981;0.7314;0.0045
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,001_scale;0.5776;0.9982;0.7309;0.0044
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,005_scale;0.7044;0.9963;0.8238;0.0057
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,01_scale;0.8623;0.9887;0.9208;0.0079
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,02_scale;0.9071;0.9745;0.9393;0.0124
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,03_scale;0.9209;0.9627;0.9412;0.0164
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,04_scale;0.9276;0.9531;0.9399;0.0216
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,05_scale;0.9333;0.9441;0.9385;0.0244
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,06_scale;0.9383;0.9332;0.9356;0.0293
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,07_scale;0.9415;0.9244;0.9327;0.0347
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,08_scale;0.9444;0.9150;0.9293;0.0395
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,09_scale;0.9481;0.9053;0.9261;0.0433
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,1_scale;0.9495;0.8974;0.9226;0.0473
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,2_scale;0.9632;0.7896;0.8677;0.0905
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,3_scale;0.9685;0.6869;0.8036;0.1346
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,4_scale;0.9710;0.5861;0.7307;0.1694
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,5_scale;0.9723;0.4869;0.6484;0.2086
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,6_scale;0.9742;0.3875;0.5539;0.2492
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,7_scale;0.9743;0.2924;0.4491;0.2850
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,8_scale;0.9742;0.1979;0.3281;0.3160
Massacre_VAE_1651_4954_7_OCSVM_RBF_0,9_scale;0.9716;0.1017;0.1835;0.3393
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,0001_scale;0.5266;0.9970;0.6891;0.0044
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,0005_scale;0.5252;0.9980;0.6881;0.0039
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,001_scale;0.5255;0.9979;0.6883;0.0039
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,005_scale;0.6269;0.9956;0.7687;0.0058
Massacre_VAE_1651_4954_3_OCSVM_RBF_0,01_scale;0.7988;0.9908;0.8830;0.0079
