Parameters;F1-Score
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8279
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7548
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6718
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5781
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4718
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3398
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1784
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.9573
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.9577
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.9577
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9833
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9861
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9822
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9779
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9730
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9682
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9630
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9570
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9516
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9463
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9414
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8858
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8244
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7537
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6715
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5800
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4693
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3429
Immigration_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1907
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.9165
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.9172
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.9172
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.9692
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.9807
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9809
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9777
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9729
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9693
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9651
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9604
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9560
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9514
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9466
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8941
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8368
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7701
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6940
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.6058
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4921
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3610
Immigration_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1988
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.9383
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.9383
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.9383
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.9813
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.9861
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9830
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9789
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9741
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9690
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9642
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9582
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9533
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9486
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9443
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8932
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8342
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7659
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6887
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5959
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4864
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3599
Immigration_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1986
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.8447
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.8455
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.8455
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.9268
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.9514
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.9602
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.9619
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.9609
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.9592
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.9571
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.9539
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.9500
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.9469
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.9432
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8948
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8386
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7713
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6981
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.6066
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4972
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3635
Immigration_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.2010
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.8774
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.8778
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.8778
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.9473
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.9707
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.9754
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.9739
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9709
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9681
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9649
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9608
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9562
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9520
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9475
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8967
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8428
Immigration_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7773
