Parameters;F1-Score
Investments_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6555
Investments_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5600
Investments_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4533
Investments_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3343
Investments_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1806
Investments_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7248
Investments_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7238
Investments_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7237
Investments_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8975
Investments_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9700
Investments_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9749
Investments_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9702
Investments_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9649
Investments_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9599
Investments_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9546
Investments_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9501
Investments_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9444
Investments_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9384
Investments_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9335
Investments_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8796
Investments_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8123
Investments_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7423
Investments_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6591
Investments_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5681
Investments_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4601
Investments_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3377
Investments_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1892
Investments_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.6866
Investments_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.6844
Investments_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.6847
Investments_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.8639
Investments_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.9720
Investments_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.9776
Investments_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9754
Investments_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9709
Investments_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9659
Investments_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9613
Investments_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9558
Investments_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9509
Investments_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9456
Investments_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9401
Investments_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8816
Investments_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8149
Investments_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7373
Investments_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6540
Investments_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5584
