Parameters;F1-Score
Culture_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6773
Culture_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5877
Culture_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4750
Culture_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3494
Culture_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1834
Culture_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7062
Culture_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7063
Culture_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7064
Culture_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7828
Culture_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8499
Culture_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9056
Culture_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9332
Culture_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9413
Culture_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9442
Culture_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9444
Culture_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9436
Culture_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9418
Culture_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9391
Culture_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9353
Culture_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8825
Culture_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8236
Culture_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7560
Culture_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6765
Culture_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5850
Culture_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4783
Culture_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3536
Culture_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1930
Culture_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.6863
Culture_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.6864
Culture_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.6863
Culture_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.7382
Culture_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.7908
Culture_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.8555
Culture_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.8981
Culture_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9220
Culture_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9324
Culture_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9390
Culture_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9433
Culture_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9429
Culture_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9409
Culture_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9380
Culture_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8889
Culture_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8243
Culture_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7527
Culture_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6754
Culture_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5843
Culture_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4809
Culture_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3460
Culture_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1892
Culture_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.6905
Culture_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.6899
Culture_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.6893
Culture_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.7326
Culture_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.7878
Culture_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.8589
Culture_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.8966
Culture_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9175
Culture_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9295
Culture_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9363
Culture_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9386
Culture_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9389
Culture_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9376
Culture_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9352
Culture_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8867
Culture_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8229
Culture_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7528
Culture_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6746
Culture_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5855
Culture_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4815
Culture_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3548
Culture_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1932
Culture_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6765
Culture_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6907
Culture_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6910
Culture_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.7133
Culture_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7338
Culture_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.7802
Culture_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.8046
Culture_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.8210
Culture_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8380
Culture_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.8471
Culture_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.8551
Culture_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.8592
Culture_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.8626
Culture_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.8634
Culture_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8442
Culture_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.7979
Culture_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7348
Culture_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6623
Culture_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5772
Culture_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4756
Culture_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3470
Culture_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1887
Culture_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.6805
Culture_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.6811
Culture_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.6812
Culture_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.7290
Culture_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.7632
Culture_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.8427
Culture_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.8911
Culture_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.9114
Culture_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.9262
Culture_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9356
Culture_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9409
Culture_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9424
Culture_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9416
Culture_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9381
Culture_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8883
Culture_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8257
