Parameters;F1-Score
College_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7269
College_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7269
College_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7271
College_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7663
College_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8187
College_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8857
College_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9077
College_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9178
College_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9263
College_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9277
College_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9278
College_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9265
College_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9240
College_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9227
College_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8803
College_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8187
College_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7485
College_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6665
College_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5744
College_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4671
College_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3364
College_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1840
College_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.6963
College_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.6835
College_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.6844
College_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.6958
College_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.7259
College_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.8690
College_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.8971
College_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9087
College_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9158
College_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9206
College_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9222
College_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9224
College_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9217
College_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9202
College_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8800
College_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8228
College_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7506
College_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6742
College_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5853
College_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4671
College_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3408
College_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1878
College_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.6822
College_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.6827
College_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.6825
College_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.6917
College_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.7221
College_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.8731
College_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9070
College_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9207
College_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9254
College_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9276
College_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9288
College_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9279
College_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9269
College_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9240
College_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.8830
College_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.8232
College_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7545
College_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6751
College_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5851
College_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4730
College_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3473
College_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1912
College_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.6863
College_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.6801
College_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.6804
College_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.6886
College_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.7035
College_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.7598
College_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.7838
College_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.7967
College_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8045
College_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.8103
College_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.8164
College_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.8198
College_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.8229
College_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.8256
College_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8142
College_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.7740
College_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.7204
College_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.6531
College_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.5671
College_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.4645
College_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.3448
College_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.1967
College_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.7022
College_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.7036
College_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.7010
College_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.7057
College_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.7210
College_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.8206
College_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.8533
College_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.8681
College_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.8774
College_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.8830
College_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.8859
College_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.8888
College_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.8919
College_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.8932
College_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8724
College_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.8241
College_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7605
College_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6850
College_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5864
College_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4752
College_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3435
College_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1873
College_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.6946
College_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.6941
College_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.6947
College_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.6993
College_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7125
College_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8424
College_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.8790
College_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.8913
College_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.8994
College_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9057
College_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9092
College_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9105
College_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9112
College_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9110
College_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8795
College_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.8253
College_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7578
College_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6768
College_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5820
College_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4739
College_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3430
College_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1880
