Parameters;F1-Score
Welfare_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.7915
Welfare_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.7190
Welfare_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.6413
Welfare_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.5496
Welfare_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.4455
Welfare_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.3218
Welfare_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.1669
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6845
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6847
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6847
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7292
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7811
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8340
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8591
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8750
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8859
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.8922
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.8975
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.8993
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.8990
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.8974
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.8530
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.7927
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.7238
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6423
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5525
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4441
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3210
Welfare_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1713
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.6942
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.6944
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.6941
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7484
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.7985
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.8501
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.8697
Welfare_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.8833
