Parameters;Precisao;Revocacao;F1-Score;Tempo
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9728;0.9180;0.9446;0.7242
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9706;0.9293;0.9495;0.9903
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9708;0.9297;0.9498;1.0388
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9708;0.9297;0.9498;1.0826
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9708;0.9297;0.9498;1.0980
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9709;0.9297;0.9499;1.1318
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9728;0.9257;0.9487;1.2104
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9750;0.9183;0.9458;1.3615
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9790;0.9143;0.9455;1.5013
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9821;0.9060;0.9425;1.6349
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9833;0.8912;0.9350;1.7978
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9849;0.8812;0.9302;1.9334
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9869;0.8692;0.9243;2.1005
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9884;0.8595;0.9194;2.2557
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9936;0.7740;0.8701;3.8027
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9959;0.6707;0.8016;5.3845
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9973;0.5707;0.7260;7.0837
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9976;0.4953;0.6619;8.6031
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9982;0.4035;0.5747;10.0360
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9985;0.3055;0.4678;11.5060
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9989;0.2087;0.3453;12.9672
Rivers_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9995;0.1092;0.1970;14.2421
