Parameters;F1-Score
Suicide_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.8147
Suicide_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.7362
Suicide_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6512
Suicide_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5551
Suicide_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4465
Suicide_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3186
Suicide_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1695
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.8023
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.8084
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.8085
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8895
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9108
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9427
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9535
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9544
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9529
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9506
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9478
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9435
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9384
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9330
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8762
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8110
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7369
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6525
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5579
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4550
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3280
Suicide_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1790
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.6923
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.6930
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.6930
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.7014
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.7505
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.8428
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9168
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9471
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9533
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9534
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9482
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9418
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9362
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9314
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8719
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.7956
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.7190
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.6313
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.5434
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.4443
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.3281
Suicide_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.1789
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.7327
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.7330
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.7330
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.7509
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.8131
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9091
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9474
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9615
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9623
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9600
Suicide_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9558
