Parameters;F1-Score
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.7860
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7147
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6297
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5387
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4359
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3144
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1755
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7367
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7371
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7372
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7653
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8403
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9100
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9339
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9381
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9376
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9347
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9309
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9259
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9221
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9175
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8556
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.7829
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7016
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6179
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5274
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4261
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3067
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1678
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.6952
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.6865
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.6858
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.6946
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.7666
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.8717
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9244
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9324
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9333
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9332
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9305
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9293
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9274
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9239
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8694
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8022
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7289
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6431
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5443
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4399
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3198
Holiday_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1763
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.6785
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.6908
Holiday_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.6917
