Parameters;Precisao;Revocacao;F1-Score;Tempo
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9449;0.8561;0.8906;0.0711
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9483;0.7526;0.8308;0.1273
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9499;0.6543;0.7660;0.1916
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9512;0.5600;0.6955;0.2482
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9511;0.4681;0.6176;0.2999
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9501;0.3786;0.5324;0.3688
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9477;0.2887;0.4365;0.4151
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9451;0.1941;0.3191;0.4627
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9446;0.1001;0.1795;0.4922
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5312;0.9907;0.6914;0.0046
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5324;0.9982;0.6943;0.0044
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5323;0.9982;0.6942;0.0042
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9172;0.9882;0.9511;0.0073
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9541;0.9806;0.9672;0.0103
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9790;0.9522;0.9654;0.0173
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9842;0.9339;0.9584;0.0227
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9867;0.9189;0.9516;0.0286
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9886;0.9036;0.9442;0.0341
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9897;0.8901;0.9372;0.0449
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9903;0.8790;0.9313;0.0493
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9910;0.8669;0.9248;0.0529
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9918;0.8557;0.9187;0.0591
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9922;0.8436;0.9118;0.0732
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9947;0.7346;0.8451;0.1282
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9955;0.6381;0.7777;0.1887
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9964;0.5420;0.7020;0.2447
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9968;0.4452;0.6155;0.3008
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9971;0.3569;0.5256;0.3669
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9972;0.2691;0.4237;0.4172
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9968;0.1849;0.3117;0.4587
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9967;0.0960;0.1749;0.4936
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5299;0.9923;0.6908;0.0049
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5320;0.9982;0.6941;0.0048
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5323;0.9980;0.6943;0.0043
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9223;0.9885;0.9541;0.0070
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9576;0.9797;0.9685;0.0101
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9792;0.9517;0.9653;0.0172
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9844;0.9343;0.9587;0.0230
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9870;0.9188;0.9517;0.0286
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9889;0.9049;0.9451;0.0363
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9901;0.8924;0.9387;0.0442
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9909;0.8800;0.9322;0.0481
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9914;0.8664;0.9247;0.0533
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9920;0.8543;0.9180;0.0613
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9925;0.8420;0.9111;0.0681
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9946;0.7385;0.8476;0.1280
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9958;0.6440;0.7822;0.1894
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9964;0.5442;0.7038;0.2451
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9969;0.4519;0.6217;0.3009
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9973;0.3650;0.5341;0.3656
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9969;0.2802;0.4373;0.4084
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9966;0.1888;0.3172;0.4581
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9971;0.0937;0.1712;0.4895
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.5865;0.9927;0.7324;0.0053
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.5824;0.9951;0.7299;0.0054
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.5822;0.9951;0.7297;0.0059
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.8652;0.9907;0.9236;0.0079
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.9335;0.9810;0.9566;0.0108
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9699;0.9594;0.9646;0.0179
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9779;0.9447;0.9610;0.0237
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9820;0.9307;0.9556;0.0287
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9839;0.9187;0.9502;0.0342
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9858;0.9061;0.9443;0.0439
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9872;0.8941;0.9383;0.0475
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9879;0.8850;0.9336;0.0529
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9888;0.8732;0.9274;0.0600
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9894;0.8606;0.9205;0.0694
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9930;0.7462;0.8520;0.1253
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9948;0.6440;0.7818;0.1843
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9954;0.5475;0.7064;0.2440
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9960;0.4517;0.6215;0.2952
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9963;0.3616;0.5306;0.3620
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.9966;0.2722;0.4275;0.4092
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.9969;0.1824;0.3084;0.4525
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.9970;0.0911;0.1669;0.4945
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.5421;0.9975;0.7020;0.0043
Hurricane_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.5405;0.9977;0.7008;0.0043
